"LSOA","Rurality","LV_flexibility_savings","Total_flexibility_savings"
"E01000366","Urban",29.37,0
"E01000367","Urban",32.46,0
"E01000368","Urban",28.66,0
"E01000369","Urban",20.14,0
"E01000370","Urban",16.83,0
"E01000371","Urban",9.5,0
"E01000372","Urban",40.09,0
"E01000373","Urban",6.28,0
"E01000374","Urban",66.5,51.3
"E01000375","Urban",39.36,29.78
"E01000376","Urban",22.25,0
"E01000377","Urban",15.17,34.92
"E01000378","Urban",36.24,199.82
"E01000379","Urban",18.03,0
"E01000380","Urban",67.56,0
"E01000381","Urban",33.24,25.76
"E01000382","Urban",23.4,0
"E01000383","Urban",60.26,0
"E01000384","Urban",32.93,0
"E01000385","Urban",89.59,257.36
"E01000386","Urban",22.72,10.71
"E01000387","Urban",31.34,0
"E01000388","Urban",36.25,0
"E01000389","Urban",18.27,3.68
"E01000390","Urban",14.61,7.36
"E01000391","Urban",20.95,0
"E01000392","Urban",20.2,25.76
"E01000393","Urban",17.17,0
"E01000394","Urban",38.19,1.5
"E01000395","Urban",35.65,0
"E01000396","Urban",4,0
"E01000398","Urban",5.92,0
"E01000399","Urban",41.07,0
"E01000400","Urban",33.6,0
"E01000401","Urban",14.34,8.5
"E01000402","Urban",4,10.8
"E01000403","Urban",22.18,0
"E01000404","Urban",6.21,0
"E01000405","Urban",54.32,0
"E01000406","Urban",14.7,119
"E01000407","Urban",41.92,0
"E01000408","Urban",11.5,29.04
"E01000409","Urban",3.93,0
"E01000410","Urban",6.49,0
"E01000411","Urban",18.43,0
"E01000412","Urban",12.58,0
"E01000413","Urban",6,0
"E01000414","Urban",76.56,0
"E01000415","Urban",23.22,0
"E01000416","Urban",11.6,0
"E01000417","Urban",15.3,0
"E01000418","Urban",14.17,0
"E01000419","Urban",20.63,0
"E01000420","Urban",21.43,0
"E01000421","Urban",25.97,0
"E01000422","Urban",0,0
"E01000423","Urban",13.71,0
"E01000424","Urban",35.67,0
"E01000425","Urban",10.88,0
"E01000426","Urban",18.8,7.36
"E01000427","Urban",12.13,18.06
"E01000428","Urban",11.23,7.36
"E01000429","Urban",7.75,0
"E01000430","Urban",32.42,0
"E01000431","Urban",13.07,0
"E01000432","Urban",133.71,19.72
"E01000433","Urban",19.69,0
"E01000434","Urban",13.77,0
"E01000435","Urban",5.25,0
"E01000436","Urban",24.84,0
"E01000437","Urban",8.91,0
"E01000438","Urban",34.15,0
"E01000439","Urban",13.68,0
"E01000440","Urban",19.49,0
"E01000441","Urban",25.01,0
"E01000442","Urban",31.32,0
"E01000443","Urban",26.63,0
"E01000444","Urban",31.23,2.52
"E01000445","Urban",26.4,0
"E01000446","Urban",9.37,0
"E01000447","Urban",8.49,0
"E01000448","Urban",21.08,0
"E01000449","Urban",24.95,0
"E01000450","Urban",23.29,0
"E01000451","Urban",9.92,0
"E01000452","Urban",10.79,0
"E01000453","Urban",5.75,0
"E01000454","Urban",20.57,88.2
"E01000455","Urban",28.08,0
"E01000456","Urban",8.91,0
"E01000457","Urban",27.95,63.39
"E01000458","Urban",29.62,0
"E01000459","Urban",25.58,0
"E01000460","Urban",24.88,0
"E01000461","Urban",14.33,0
"E01000462","Urban",46.25,11.16
"E01000463","Urban",29.63,0
"E01000464","Urban",3.08,0
"E01000465","Urban",11.78,0
"E01000466","Urban",16.86,2101.765
"E01000467","Urban",2.85,0
"E01000468","Urban",9.88,0
"E01000469","Urban",16.08,9.52
"E01000470","Urban",0,20.7
"E01000471","Urban",5.63,0
"E01000472","Urban",3,49.5
"E01000473","Urban",1.98,0
"E01000474","Urban",17.27,0
"E01000475","Urban",1.92,0
"E01000476","Urban",1.71,14.3
"E01000477","Urban",7.32,39.15
"E01000478","Urban",1.7,0
"E01000479","Urban",33.35,0
"E01000480","Urban",7.43,0
"E01000481","Urban",1.38,6.9
"E01000482","Urban",21.34,0
"E01000483","Urban",0,0
"E01000484","Urban",7.58,0
"E01000485","Urban",15.86,0
"E01000486","Urban",30.01,0
"E01000487","Urban",20.09,0
"E01000488","Urban",0,0
"E01000489","Urban",66.03,0
"E01000490","Urban",2.39,0
"E01000491","Urban",6.49,52.65
"E01000492","Urban",10.72,0
"E01000493","Urban",20.99,4.13
"E01000494","Urban",12.78,17.86
"E01000495","Urban",0,0
"E01000497","Urban",50.35,0
"E01000498","Urban",3.05,0
"E01000499","Urban",3.99,11.88
"E01000501","Urban",0,0
"E01000502","Urban",12.81,0
"E01000503","Urban",15.97,10
"E01000504","Urban",6.96,0
"E01000505","Urban",14.15,0
"E01000506","Urban",5.5,34
"E01000507","Urban",8.79,0
"E01000508","Urban",0,47.84
"E01000509","Urban",4.22,0
"E01000510","Urban",8,0
"E01000511","Urban",9.84,0
"E01000512","Urban",2.85,0
"E01000513","Urban",5.4,0
"E01000514","Urban",4,49.25
"E01000515","Urban",3.5,0
"E01000516","Urban",9.05,0
"E01000517","Urban",1.84,0
"E01000518","Urban",10.48,0
"E01000519","Urban",12.99,2.94
"E01000520","Urban",3.92,0
"E01000521","Urban",21.14,0
"E01000522","Urban",5.3,12.5
"E01000523","Urban",1.5,5.35
"E01000524","Urban",4.89,0
"E01000525","Urban",2.4,0
"E01000526","Urban",3.9,7
"E01000527","Urban",0,2.44
"E01000528","Urban",2.5,0
"E01000530","Urban",10.3,0
"E01000531","Urban",5.33,0
"E01000532","Urban",13.22,0
"E01000533","Urban",6.92,0
"E01000534","Urban",7.59,0
"E01000535","Urban",8.52,3.68
"E01000536","Urban",33.69,48.37
"E01000538","Urban",27.47,0
"E01000539","Urban",18.43,10
"E01000540","Urban",19.4,0
"E01000541","Urban",7.59,0
"E01000543","Urban",2.86,0
"E01000544","Urban",0,0
"E01000545","Urban",3.14,0
"E01000546","Urban",11.43,0
"E01000547","Urban",5.2,0
"E01000548","Urban",0,0
"E01000549","Urban",14.34,0
"E01000550","Urban",4,0
"E01000551","Urban",6.44,43.2
"E01000552","Urban",35,0
"E01000553","Urban",5.59,0
"E01000554","Urban",12.4,0
"E01000555","Urban",26.33,0
"E01000556","Urban",0,0
"E01000557","Urban",3.15,0
"E01000558","Urban",16.33,0
"E01000559","Urban",11.51,0
"E01000560","Urban",11,0
"E01000561","Urban",2.4,0
"E01000562","Urban",29.14,0
"E01000563","Urban",20.05,0
"E01000564","Urban",4,0
"E01000565","Urban",10.06,23.92
"E01000566","Urban",21.71,0
"E01000567","Urban",6.79,0
"E01000568","Urban",24.09,155.08
"E01000569","Urban",6.72,0
"E01000570","Urban",15.5,0
"E01000571","Urban",20.5,0
"E01000572","Urban",16.88,0
"E01000573","Urban",12.15,5
"E01000574","Urban",2.16,0
"E01000575","Urban",22.87,0
"E01000576","Urban",22.5,0
"E01000577","Urban",5.71,0
"E01000578","Urban",31.09,0
"E01000579","Urban",22.73,0
"E01000580","Urban",10.06,0
"E01000581","Urban",8.25,0
"E01000582","Urban",24.59,9
"E01000583","Urban",14.37,13.44
"E01000584","Urban",8.23,0
"E01000585","Urban",12.68,0
"E01000586","Urban",0,0
"E01000587","Urban",19.63,0
"E01000588","Urban",15.07,29.53
"E01000589","Urban",17.7,89
"E01000590","Urban",26.38,0
"E01000591","Urban",14.14,0
"E01000592","Urban",36.58,0
"E01000593","Urban",10.44,0
"E01000594","Urban",6.96,0
"E01000595","Urban",0,0
"E01000596","Urban",2,0
"E01000599","Urban",0,0
"E01000600","Urban",37.8,85.99
"E01000601","Urban",4.5,137.97
"E01000602","Urban",11.29,0
"E01000603","Urban",4,0
"E01000604","Urban",17.5,0
"E01000605","Urban",73.03,0
"E01000606","Urban",3.78,0
"E01000607","Urban",13.15,0
"E01000608","Urban",27.73,0
"E01000609","Urban",4.8,0
"E01000610","Urban",31.78,17.22
"E01000611","Urban",9.49,0
"E01000612","Urban",12.63,0
"E01000613","Urban",7.47,0
"E01000615","Urban",14.16,0
"E01000616","Urban",12.62,0
"E01000617","Urban",36.29,3.05
"E01000618","Urban",9.24,0
"E01000619","Urban",6,0
"E01000620","Urban",17.31,0
"E01000621","Urban",16.84,20
"E01000622","Urban",3.51,0
"E01000623","Urban",19.71,0
"E01000624","Urban",22.85,0
"E01000625","Urban",5.19,0
"E01000626","Urban",0,0
"E01000627","Urban",5.9,0
"E01000628","Urban",4.08,0
"E01000629","Urban",14,0
"E01000630","Urban",6.78,0
"E01000631","Urban",29.14,11.34
"E01000632","Urban",15.89,0
"E01000633","Urban",5.91,0
"E01000634","Urban",0,0
"E01000635","Urban",33.4,0
"E01000636","Urban",13.23,13
"E01000637","Urban",1.8,0
"E01000638","Urban",2.04,55.55
"E01000639","Urban",2.04,0
"E01000640","Urban",3.97,0
"E01000641","Urban",23.96,0
"E01000642","Urban",15.5,48.37
"E01000643","Urban",1.56,17.82
"E01000644","Urban",9.58,0
"E01000645","Urban",53.13,0
"E01000646","Urban",21.59,0
"E01000647","Urban",1.8,0
"E01000648","Urban",35.66,0
"E01000649","Urban",52.2,0
"E01000650","Urban",65.51,0
"E01000651","Urban",21.37,20.46
"E01000652","Urban",47.03,47.15
"E01000653","Urban",20.92,0
"E01000654","Cities",28.23,0
"E01000655","Cities",33.75,0
"E01000656","Cities",70.28,0
"E01000657","Cities",22.37,0
"E01000658","Cities",68.61,0
"E01000659","Cities",45.45,0
"E01000661","Urban",7.06,0
"E01000662","Urban",40.55,0
"E01000663","Urban",17.39,13.64
"E01000664","Urban",25.81,0
"E01000665","Urban",35.52,0
"E01000666","Cities",34.29,0
"E01000667","Urban",26,0
"E01000668","Urban",21.41,21.5
"E01000669","Urban",8.32,0
"E01000670","Urban",55.11,0
"E01000671","Urban",25.61,0
"E01000672","Urban",29.85,10.8
"E01000673","Urban",34.24,4.2
"E01000674","Urban",5,0
"E01000675","Urban",14.5,50.23
"E01000676","Urban",0,20.87
"E01000677","Urban",4.5,0
"E01000678","Urban",30.87,0
"E01000679","Urban",19.26,6.72
"E01000680","Cities",67.39,0
"E01000681","Urban",38.86,0
"E01000682","Urban",20.09,0
"E01000683","Urban",37.61,0
"E01000684","Urban",18.34,0
"E01000685","Urban",36.69,22.62
"E01000686","Urban",30.36,42.3
"E01000687","Urban",47.39,0
"E01000688","Urban",50.78,0
"E01000689","Urban",8,50
"E01000690","Urban",24.63,0
"E01000691","Urban",14.14,0
"E01000692","Urban",3.94,0
"E01000693","Urban",18.51,8.12
"E01000694","Urban",37.75,18.6
"E01000695","Urban",21.93,0
"E01000696","Urban",31.1,0
"E01000697","Urban",14.5,0
"E01000698","Urban",60.7,0
"E01000699","Urban",4,3
"E01000700","Urban",11.93,0
"E01000701","Urban",9.26,3
"E01000702","Urban",10.76,0
"E01000703","Urban",15.22,3.91
"E01000704","Urban",3.5,0
"E01000705","Urban",26.26,0
"E01000706","Urban",4.22,0
"E01000707","Urban",14.87,0
"E01000708","Urban",4,12
"E01000709","Urban",13.43,0
"E01000710","Urban",85.18,0
"E01000711","Urban",10.9,0
"E01000712","Urban",23.4,10
"E01000713","Urban",25.61,0
"E01000714","Urban",16.81,0
"E01000715","Urban",8.74,0
"E01000716","Urban",31.39,0
"E01000717","Urban",13.98,0
"E01000718","Urban",14.59,0
"E01000719","Urban",26.85,3
"E01000720","Urban",34.15,0
"E01000721","Urban",5.5,0
"E01000722","Urban",62.82,30
"E01000723","Urban",15.08,0
"E01000724","Urban",24.27,0
"E01000725","Urban",2.3,0
"E01000726","Urban",34.27,0
"E01000727","Urban",55.25,0
"E01000728","Urban",19.8,35.11
"E01000729","Urban",4,0
"E01000730","Urban",17.75,0
"E01000731","Urban",46.71,0
"E01000732","Urban",26.41,0
"E01000733","Urban",21.2,0
"E01000734","Urban",13.9,0
"E01000735","Urban",20.03,0
"E01000736","Urban",14,0
"E01000737","Urban",12.12,0
"E01000738","Urban",32.62,0
"E01000739","Urban",26.06,0
"E01000740","Urban",0.75,1.68
"E01000741","Urban",3.7,0
"E01000742","Urban",0,0
"E01000743","Urban",2.64,22.5
"E01000744","Urban",1.92,0
"E01000745","Urban",22.89,57.24
"E01000746","Urban",10.85,0
"E01000747","Cities",205.5,30
"E01000748","Villages",76.36,0
"E01000749","Villages",39.73,0
"E01000750","Urban",20.99,4.07
"E01000751","Urban",22.49,0
"E01000752","Urban",19.94,0
"E01000753","Urban",43.85,0
"E01000754","Urban",19.72,0
"E01000755","Urban",12.27,0
"E01000756","Urban",48.51,0
"E01000757","Urban",29.45,0
"E01000758","Urban",34.56,0
"E01000759","Urban",37.62,0
"E01000760","Urban",17.68,0
"E01000761","Urban",28.45,0
"E01000762","Urban",46.07,0
"E01000763","Urban",10.94,0
"E01000764","Urban",19.21,0
"E01000765","Urban",20.9,6.49
"E01000766","Urban",15.81,0
"E01000767","Urban",33.27,0
"E01000768","Urban",36.04,0
"E01000769","Urban",8.02,0
"E01000770","Urban",32.18,0
"E01000771","Urban",12.14,0
"E01000772","Urban",12.75,0
"E01000773","Urban",10.66,0
"E01000774","Urban",3.64,0
"E01000775","Urban",13.09,40
"E01000777","Urban",20.46,0
"E01000778","Urban",7.75,0
"E01000779","Urban",25.66,0
"E01000780","Urban",4.19,0
"E01000781","Urban",11.35,0
"E01000782","Urban",4.84,0
"E01000783","Urban",3.97,0
"E01000784","Urban",7.96,0
"E01000785","Urban",4.97,0
"E01000786","Urban",32.72,0
"E01000787","Urban",29.42,0
"E01000788","Urban",21.84,0
"E01000789","Urban",7.87,0
"E01000790","Urban",23.42,0
"E01000791","Urban",45.13,52.5
"E01000792","Urban",32.57,0
"E01000793","Urban",36.9,0
"E01000794","Urban",33.62,0
"E01000795","Urban",49.605,0
"E01000796","Urban",0,0
"E01000797","Urban",31.35,9
"E01000798","Urban",0,0
"E01000799","Urban",8.16,52.46
"E01000800","Urban",2,0
"E01000801","Urban",4.29,50
"E01000802","Urban",4.28,0
"E01000803","Urban",12.62,0
"E01000804","Urban",21.82,5.25
"E01000805","Urban",0,0
"E01000806","Urban",0,0
"E01000807","Urban",21.52,0
"E01000808","Urban",14.82,0
"E01000809","Urban",27.91,0
"E01000810","Urban",22.58,0
"E01000811","Urban",20.54,0
"E01000812","Urban",41.62,0
"E01000813","Urban",61.41,3.36
"E01000814","Urban",75.49,3.9
"E01000815","Urban",14.58,0
"E01000816","Urban",17.21,0
"E01000818","Urban",44,0
"E01000819","Urban",20.04,0
"E01000820","Urban",15.84,0
"E01000822","Urban",10.05,2.5
"E01000823","Urban",2.71,0
"E01000824","Urban",6.75,7.38
"E01000825","Urban",20.59,0
"E01000826","Urban",33.71,0
"E01000827","Urban",33.09,0
"E01000828","Urban",37.88,0
"E01000829","Urban",18.4,0
"E01000830","Urban",53.82,47.6
"E01000831","Urban",22.55,0
"E01000832","Urban",38.725,0
"E01000833","Urban",34.73,0
"E01000834","Urban",3.04,0
"E01000835","Urban",12.71,0
"E01000836","Urban",13.73,0
"E01000837","Urban",19.91,0
"E01000838","Urban",17.23,0
"E01000839","Urban",15.86,0
"E01000840","Urban",30.32,0
"E01000841","Urban",33.27,0
"E01000842","Urban",0,0
"E01000843","Urban",0,0
"E01000844","Urban",1.02,0
"E01000845","Urban",7.14,0
"E01000846","Urban",12.85,0
"E01000847","Urban",3.92,0
"E01000848","Urban",2.4,0
"E01000849","Urban",2.35,0
"E01000850","Urban",1.7,0
"E01000851","Urban",15.77,0
"E01000852","Urban",0,95.25
"E01000853","Urban",0,0
"E01000854","Urban",1.48,59
"E01000855","Urban",110.22,0
"E01000856","Urban",1.72,0
"E01000857","Urban",14.92,0
"E01000858","Urban",1.28,30
"E01000859","Urban",14.14,8.4
"E01000860","Urban",1.8,0
"E01000861","Urban",7.38,0
"E01000862","Urban",0,3.5
"E01000863","Urban",30.79,0
"E01000864","Urban",9.15,0
"E01000865","Urban",21.63,20.02
"E01000866","Urban",12.12,0
"E01000867","Urban",0,0
"E01000868","Urban",5.67,0
"E01000869","Urban",13.73,0
"E01000870","Urban",11.91,0
"E01000871","Urban",19.99,0
"E01000872","Urban",37.33,0
"E01000873","Urban",1.5,0
"E01000874","Urban",0,0
"E01000875","Urban",2.1,0
"E01000876","Urban",3.02,0
"E01000877","Urban",14.6,0
"E01000878","Urban",4.66,0
"E01000879","Urban",3.5,9.9
"E01000880","Urban",8.08,10
"E01000881","Urban",0,0
