LSOA,NSubstations_11kV_GMT,NSubstations_11kV_PMT
E01020277,10,1
E01020278,9,104
E01020279,13,4
E01020280,10,0
E01020281,5,0
E01020282,16,0
E01020283,21,14
E01020284,5,0
E01020285,9,0
E01020286,3,226
E01020287,5,179
E01020288,10,96
E01020289,0,180
E01020290,4,144
E01020291,2,174
E01020292,9,102
E01020293,17,146
E01020294,15,5
E01020295,4,135
E01020296,2,103
E01020297,6,0
E01020298,14,3
E01020299,12,0
E01020300,5,3
E01020301,6,164
E01020302,3,143
E01020303,5,130
E01020304,9,5
E01020305,6,1
E01020306,7,1
E01020307,9,40
E01020308,2,163
E01020309,5,196
E01020310,15,1
E01020311,9,182
E01020312,6,90
E01020313,6,1
E01020314,5,199
E01020315,9,39
E01020316,12,50
E01020317,6,73
E01020318,4,76
E01020319,4,157
E01020320,2,214
E01020321,12,119
E01020322,12,206
E01020323,9,96
E01020324,6,112
E01020325,5,167
E01020326,9,73
E01020327,5,2
E01020328,13,1
E01020329,13,38
E01020330,12,1
E01020331,4,148
E01020332,8,1
E01020333,10,15
E01020334,8,4
E01020335,10,0
E01020336,9,3
E01020337,5,3
E01020338,11,4
E01020339,5,81
E01020340,16,126
E01020341,6,86
E01020342,7,5
E01020494,6,59
E01020495,10,21
E01020496,8,10
E01020498,14,14
E01020499,5,1
E01020500,12,2
E01020501,12,5
E01020502,7,0
E01020503,12,2
E01020504,19,12
E01020506,4,149
E01020507,10,42
E01020511,8,62
E01020517,7,87
E01020531,5,82
E01020532,17,0
E01020533,11,9
E01020535,3,202
E01020536,7,100
E01029018,8,109
E01029019,8,90
E01029020,9,69
E01029021,4,84
E01029024,4,31
E01029025,3,6
E01029026,4,20
E01029027,9,45
E01029028,6,4
E01029046,6,0
E01029047,15,9
E01029048,9,27
E01029049,6,4
E01029050,9,13
E01029051,5,6
E01029052,9,55
E01029054,4,66
E01029055,2,46
E01029056,7,150
E01029059,5,116
E01029060,6,113
E01029061,8,87
E01029062,4,0
E01029063,15,7
E01029064,13,13
E01029065,4,5
E01029066,10,1
E01029067,8,1
E01029068,5,49
E01029069,2,26
E01029070,16,1
E01029071,7,7
E01029072,7,2
E01029073,7,0
E01029074,5,10
E01029075,4,0
E01029076,8,1
E01029077,5,155
E01029078,10,0
E01029079,5,0
E01029080,8,1
E01029081,14,2
E01029082,5,4
E01029083,9,6
E01029084,7,0
E01029085,9,7
E01029086,2,81
E01029087,18,27
E01029088,5,3
E01029089,11,63
E01029090,24,33
E01029091,2,0
E01029092,3,0
E01029093,4,0
E01029094,30,4
E01029095,10,0
E01029096,23,2
E01029097,4,0
E01029098,8,0
E01029099,4,0
E01029100,5,0
E01029101,3,0
E01029102,5,0
E01029103,9,13
E01029104,5,0
E01029105,8,0
E01029106,4,0
E01029107,5,0
E01029108,6,0
E01029109,7,0
E01029110,7,0
E01029111,4,0
E01029112,22,0
E01029113,10,1
E01029114,8,0
E01029115,4,0
E01029116,8,0
E01029117,9,0
E01029118,6,0
E01029119,6,0
E01029120,4,0
E01029121,7,52
E01029122,10,59
E01029123,7,5
E01029124,9,38
E01029125,3,116
E01029126,8,6
E01029127,12,0
E01029128,13,50
E01029129,11,22
E01029130,5,72
E01029131,22,2
E01029132,4,0
E01029133,8,0
E01029134,20,8
E01029135,9,42
E01029136,8,57
E01029137,2,59
E01029138,7,4
E01029139,2,51
E01029140,7,57
E01029141,29,90
E01029142,7,3
E01029143,6,6
E01029144,1,67
E01029145,12,18
E01029146,11,28
E01029147,2,80
E01029148,5,37
E01029149,3,46
E01029150,2,44
E01029151,6,21
E01029152,10,13
E01029153,6,215
E01029159,7,2
E01029163,7,73
E01029169,9,8
E01029170,4,0
E01029171,9,0
E01029172,5,1
E01029173,9,1
E01029174,6,0
E01029175,9,1
E01029176,12,3
E01029177,8,0
E01029178,6,34
E01029180,3,78
E01029181,6,36
E01029182,7,21
E01029183,7,2
E01029184,15,14
E01029185,12,6
E01029186,10,0
E01029187,3,26
E01029188,7,28
E01029189,5,4
E01029190,7,44
E01029191,4,17
E01029192,6,8
E01029193,12,22
E01029194,10,13
E01029195,10,6
E01029196,6,59
E01029197,5,57
E01029200,9,0
E01029201,6,18
E01029202,4,11
E01029203,5,48
E01029204,6,17
E01029205,6,3
E01029208,6,38
E01029209,2,72
E01029210,2,33
E01029211,6,41
E01029212,3,45
E01029213,4,43
E01029214,1,25
E01029215,7,12
E01029216,4,47
E01029217,4,45
E01029218,8,4
E01029219,6,73
E01029220,4,2
E01029222,4,81
E01029223,4,50
E01029224,4,82
E01029225,16,4
E01029226,10,2
E01029230,4,178
E01029243,3,0
E01029256,10,14
E01029257,6,5
E01029258,6,27
E01029259,9,20
E01029260,2,1
E01029261,12,161
E01029262,5,128
E01029263,3,0
E01029264,8,0
E01029265,4,0
E01029266,6,0
E01029267,3,57
E01029268,4,100
E01029269,10,157
E01029270,6,146
E01029271,3,72
E01029272,12,26
E01029273,4,6
E01029274,7,28
E01029275,9,35
E01029276,11,4
E01029277,6,2
E01029278,6,66
E01029279,3,57
E01029280,6,0
E01029281,6,0
E01029282,6,0
E01029283,4,1
E01029284,24,0
E01029285,12,0
E01029286,6,0
E01029287,4,0
E01029288,6,0
E01029289,12,1
E01029290,3,0
E01029291,10,0
E01029292,7,0
E01029293,5,1
E01029294,10,0
E01029295,4,0
E01029296,8,2
E01029297,7,0
E01029298,8,0
E01029299,11,0
E01029300,9,0
E01029301,13,0
E01029302,17,0
E01029303,10,2
E01029304,5,0
E01029305,3,1
E01029306,10,0
E01029307,4,0
E01029308,13,36
E01029309,12,1
E01029310,12,2
E01029311,8,1
E01029312,8,0
E01029313,8,5
E01029314,11,11
E01029315,5,1
E01029316,9,1
E01029317,9,7
E01029318,10,39
E01029319,10,2
E01029320,7,1
E01029321,6,188
E01029322,6,3
E01029323,4,0
E01029324,7,0
E01029325,10,107
E01029326,6,34
E01029327,6,223
E01029328,15,100
E01029329,8,0
E01029330,20,3
E01029331,8,2
E01029332,3,0
E01029333,3,4
E01029334,8,22
E01029335,2,90
E01029336,16,84
E01029337,8,101
E01029338,2,250
E01029339,5,1
E01029340,3,3
E01029341,7,3
E01029342,6,51
E01029343,12,19
E01029344,9,6
